unique_identifier,timestamp,price
LTC-AUD,1557151774128257,7710
ZEC-AUD,1557151774180260,6438
ZEC-AUD,1557151774297258,6438
LTC-AUD,1557151774397260,7703
ZEC-AUD,1557151774397269,6763
ETH-AUD,1557151774397278,18620
ZEC-AUD,1557151774680270,6451
LTC-AUD,1557151774680273,7442
ZEC-AUD,1557151774742260,6763
ZEC-AUD,1557151774742260,6763
LTC-AUD,1557151774749260,7703
LTC-AUD,1557151774749260,7703
ETH-AUD,1557151774758261,18620
ETH-AUD,1557151774773261,18620
ZEC-AUD,1557151774813260,6451
ZEC-AUD,1557151774813261,6451
ZEC-AUD,1557151774813262,6451
ZEC-AUD,1557151774813263,6451
ZEC-AUD,1557151774813264,6451
LTC-AUD,1557151774826260,7442
LTC-AUD,1557151774826261,7442
LTC-AUD,1557151774826262,7442
BTC-AUD,1557151774898277,564498
ETH-AUD,1557151774898280,18645
ETH-AUD,1557151774952262,18645
ETH-AUD,1557151774952263,18645
ETH-AUD,1557151774952264,18645
ETH-AUD,1557151774952262,18645
BTC-AUD,1557151774971264,563941
BTC-AUD,1557151774971265,564498
BTC-AUD,1557151774971265,564498
LTC-AUD,1557151775184267,7422
BTC-AUD,1557151775184274,560031
BTC-AUD,1557151775278262,560031
LTC-AUD,1557151775283262,7422
LTC-AUD,1557151775283262,7422
BTC-AUD,1557151775399275,563933
BTC-AUD,1557151775399279,563939
ZEC-AUD,1557151775399281,6785
ETH-AUD,1557151775399282,18641
ETH-AUD,1557151775451262,18641
ZEC-AUD,1557151775455264,6785
BTC-AUD,1557151775477263,563933
BTC-AUD,1557151775477263,563939
BTC-AUD,1557151775477263,563939
ETH-AUD,1557151775685283,18050
BTC-AUD,1557151775998271,564292
ETH-AUD,1557151776023266,18641
ETH-AUD,1557151776023267,18641
ZEC-AUD,1557151776402269,6775
ZEC-AUD,1557151776526267,6775
ZEC-AUD,1557151776526268,6775
ZEC-AUD,1557151776688278,6446
ZEC-AUD,1557151776910275,6768
LTC-AUD,1557151776910286,7719
LTC-AUD,1557151777194269,7719
LTC-AUD,1557151777194270,7719
LTC-AUD,1557151777194271,7719
ZEC-AUD,1557151777199269,6768
ZEC-AUD,1557151777199269,6768
LTC-AUD,1557151777413272,7743
ZEC-AUD,1557151777413281,6776
LTC-AUD,1557151777413284,7728
LTC-AUD,1557151777521271,7743
LTC-AUD,1557151777522271,7728
LTC-AUD,1557151777522271,7728
ZEC-AUD,1557151777609271,6776
ZEC-AUD,1557151777609271,6776
BTC-AUD,1557151777914273,565060
ETH-AUD,1557151777914292,18630
BTC-AUD,1557151778171275,565060
ETH-AUD,1557151778182273,18630
ETH-AUD,1557151778182273,18630
BTC-AUD,1557151778192278,558902
ZEC-AUD,1557151778192284,6441
LTC-AUD,1557151778192287,7417
BTC-AUD,1557151778611277,564515
ZEC-AUD,1557151778701278,6439
ETH-AUD,1557151778701291,18050
BTC-AUD,1557151779444287,563924
BTC-AUD,1557151779556279,563924
BTC-AUD,1557151779605281,563933
BTC-AUD,1557151779742280,558915
BTC-AUD,1557151779742296,558900
ETH-AUD,1557151779947284,18677
LTC-AUD,1557151779947286,7726
BTC-AUD,1557151780003281,563933
ETH-AUD,1557151780011280,18677
ETH-AUD,1557151780011280,18677
LTC-AUD,1557151780019280,7726
ZEC-AUD,1557151780463285,6772
ZEC-AUD,1557151780463289,6764
LTC-AUD,1557151780463296,7705
ZEC-AUD,1557151780627283,6772
ZEC-AUD,1557151780627284,6772
ZEC-AUD,1557151780627284,6764
LTC-AUD,1557151780637283,7705
BTC-AUD,1557151306232416,548942
LTC-AUD,1557151780637283,7705
ETH-AUD,1557151306232419,18640
BTC-AUD,1557151780745284,563924
BTC-AUD,1557151780745285,560031
BTC-AUD,1557151780745286,560031
LTC-AUD,1557151910674798,7432
ZEC-AUD,1557151780754302,6438
ZEC-AUD,1557151780919284,6438
ETH-AUD,1557151910673800,18577
ETH-AUD,1557151910746798,18567
ETH-AUD,1557151611204616,18591
ETH-AUD,1557151611204616,18591
LTC-AUD,1557151910917802,7561
BTC-AUD,1557151523938277,552013
BTC-AUD,1557151524015273,554210
