unique_identifier,timestamp,price
LTC-AUD,1557151611333622,7709
ETH-AUD,1557151611514629,18593
LTC-AUD,1557151611669617,7709
LTC-AUD,1557151611669617,7709
ETH-AUD,1557151611686617,18593
LTC-AUD,1557151611838620,7709
LTC-AUD,1557151612039619,7709
LTC-AUD,1557151612039619,7709
ZEC-AUD,1557151612106622,6807
LTC-AUD,1557151612517623,7588
LTC-AUD,1557151612613621,7588
LTC-AUD,1557151612613622,7588
LTC-AUD,1557151612613623,7588
LTC-AUD,1557151612613624,7588
LTC-AUD,1557151612840632,7731
LTC-AUD,1557151612917622,7731
ZEC-AUD,1557151613018626,6625
BTC-AUD,1557151613018628,560788
ZEC-AUD,1557151613018630,6626
ZEC-AUD,1557151613153623,6625
ZEC-AUD,1557151613153623,6625
ZEC-AUD,1557151613153623,6626
ZEC-AUD,1557151613153624,6626
ZEC-AUD,1557151613153625,6626
BTC-AUD,1557151613128626,560788
BTC-AUD,1557151613128627,560788
ZEC-AUD,1557151613342627,6804
BTC-AUD,1557151613342637,558532
LTC-AUD,1557151613521643,7554
ZEC-AUD,1557151613521644,6642
BTC-AUD,1557151613804626,558532
ZEC-AUD,1557151613804626,6804
ZEC-AUD,1557151220889072,7087
ZEC-AUD,1557151220889073,6806
BTC-AUD,1557151221078078,547409
BTC-AUD,1557151221078086,547430
LTC-AUD,1557151221310074,7869
ZEC-AUD,1557151221356077,6964
ZEC-AUD,1557151221356077,6964
LTC-AUD,1557151221471084,7920
LTC-AUD,1557151221471088,7905
ETH-AUD,1557151640305732,18428
ETH-AUD,1557151640305733,18428
ETH-AUD,1557151640484743,18408
ETH-AUD,1557151640596732,18408
ETH-AUD,1557151640596733,18408
ETH-AUD,1557151640596734,18408
ETH-AUD,1557151640669752,18506
ETH-AUD,1557151640986737,18420
ETH-AUD,1557151640986745,18414
ZEC-AUD,1557151640986748,6838
LTC-AUD,1557151641173744,7573
ETH-AUD,1557151641317734,18506
ETH-AUD,1557151641317734,18506
ETH-AUD,1557151641407737,18420
ETH-AUD,1557151641407737,18420
ETH-AUD,1557151641407737,18414
ETH-AUD,1557151641407737,18414
LTC-AUD,1557151641409735,7573
LTC-AUD,1557151641409736,7573
LTC-AUD,1557151641409737,7573
ETH-AUD,1557151641443738,18425
LTC-AUD,1557151641491741,7715
ZEC-AUD,1557151641640738,6838
ZEC-AUD,1557151641640739,6838
ZEC-AUD,1557151641640738,6838
LTC-AUD,1557151641656737,7715
LTC-AUD,1557151641656738,7715
LTC-AUD,1557151641656739,7715
LTC-AUD,1557151641861738,7715
LTC-AUD,1557151641883737,7715
ZEC-AUD,1557151641992748,6814
ZEC-AUD,1557151642397738,6814
BTC-AUD,1557151642494744,551293
ZEC-AUD,1557151642526742,6814
BTC-AUD,1557151661679827,554012
ZEC-AUD,1557151661679829,6835
ETH-AUD,1557151661785831,18300
ZEC-AUD,1557151661848815,6835
ZEC-AUD,1557151661848815,6835
BTC-AUD,1557151661848815,554012
BTC-AUD,1557151661848815,554012
BTC-AUD,1557151662180821,554564
BTC-AUD,1557151662180825,554589
ETH-AUD,1557151662180828,18513
ETH-AUD,1557151662253817,18513
ETH-AUD,1557151662253818,18513
ETH-AUD,1557151662253819,18513
ETH-AUD,1557151662253820,18513
BTC-AUD,1557151662281817,554564
BTC-AUD,1557151662282817,554589
ZEC-AUD,1557151662286824,6570
ETH-AUD,1557151662286829,18320
ZEC-AUD,1557151662286836,6573
BTC-AUD,1557151662824821,554589
BTC-AUD,1557151662991821,554589
BTC-AUD,1557151662991822,554589
ETH-AUD,1557151663186832,18507
ETH-AUD,1557151663329821,18507
ETH-AUD,1557151663690834,18483
ETH-AUD,1557151663757823,18483
ETH-AUD,1557151663757824,18483
ETH-AUD,1557151663757823,18483
BTC-AUD,1557151663769824,554564
BTC-AUD,1557151663769825,554564
BTC-AUD,1557151663793824,562395
BTC-AUD,1557151664191837,554576
ZEC-AUD,1557151664191843,6819
BTC-AUD,1557151664280825,554576
BTC-AUD,1557151664280825,554576
ZEC-AUD,1557151664295825,6819
ZEC-AUD,1557151664295825,6819
ZEC-AUD,1557151664296832,6537
BTC-AUD,1557151664692843,554007
BTC-AUD,1557151664798844,562417
BTC-AUD,1557151665131829,554007
LTC-AUD,1557151665300839,7544
BTC-AUD,1557151665381830,562424
BTC-AUD,1557151642679753,564126
ZEC-AUD,1557151642697741,6814
ZEC-AUD,1557151642697742,6814
BTC-AUD,1557151642695740,551293
BTC-AUD,1557151498986174,553688
LTC-AUD,1557151499087176,7778
LTC-AUD,1557151499150176,7736
LTC-AUD,1557151499160174,7778
LTC-AUD,1557151499160174,7778
BTC-AUD,1557151499306176,554240
BTC-AUD,1557151499306188,554226
BTC-AUD,1557151499496176,554240
BTC-AUD,1557151499496177,554240
BTC-AUD,1557151499496178,554240
BTC-AUD,1557151499497176,554226
BTC-AUD,1557151499497177,554226
BTC-AUD,1557151499497178,554226
BTC-AUD,1557151499497179,554226
LTC-AUD,1557151499711178,7736
LTC-AUD,1557151499711179,7736
LTC-AUD,1557158226627991,0
LTC-AUD,1557151500378179,0
LTC-AUD,1557151502328193,7624
LTC-AUD,1557151502328205,7633
LTC-AUD,1557151502558188,7624
LTC-AUD,1557151502558189,7624
LTC-AUD,1557151502558189,7633
LTC-AUD,1557151502558189,7633
ZEC-AUD,1557151502831200,6796
ZEC-AUD,1557151502831208,6796
ZEC-AUD,1557151502975189,6796
ZEC-AUD,1557151502975189,6796
ZEC-AUD,1557151502975189,6796
ZEC-AUD,1557151503251191,6796
LTC-AUD,1557151503255191,7624
ZEC-AUD,1557151503268191,6796
LTC-AUD,1557151503833199,7617
LTC-AUD,1557151504198194,7617
LTC-AUD,1557151504198194,7617
